epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1167.31,0.91187,0.78333,1.20256,0.69036,0.71429,0.82227,0.3759,1.81499,1.64366,2.11391,0.0011684,0.0011684,0.0011684
44,1195.64,0.91938,0.80491,1.22832,1,0.77128,0.91606,0.46362,1.58641,1.4418,1.84343,0.0011486,0.0011486,0.0011486
45,1224.29,0.93993,0.80521,1.20489,0.98481,0.78571,0.96473,0.59716,1.35599,1.26919,1.53274,0.0011288,0.0011288,0.0011288
46,1253.06,0.82107,0.79215,1.16852,0.99458,1,0.995,0.64048,1.33341,1.09633,1.46726,0.001109,0.001109,0.001109
47,1282.9,0.87357,0.77841,1.15063,0.93295,0.9943,0.99033,0.63168,1.28098,1.05933,1.45778,0.0010892,0.0010892,0.0010892
48,1311.15,0.81254,0.72165,1.129,0.91884,1,0.99033,0.64951,1.27834,1.02939,1.48149,0.0010694,0.0010694,0.0010694
49,1339.44,0.82686,0.75544,1.1624,0.98713,1,0.995,0.62631,1.30968,1.0213,1.56296,0.0010496,0.0010496,0.0010496
50,1367.6,0.93875,0.80373,1.21846,0.99427,1,0.995,0.50456,1.49293,1.03573,1.83988,0.0010298,0.0010298,0.0010298
51,1395.71,1.01625,0.80834,1.203,0.99433,1,0.995,0.54596,1.58893,0.97768,1.93403,0.00101,0.00101,0.00101
52,1423.63,0.99804,0.81112,1.31008,0.99787,1,0.995,0.59055,1.40647,0.93882,1.68015,0.0009902,0.0009902,0.0009902
53,1451.93,0.91846,0.84766,1.19114,0.99109,1,0.995,0.61704,1.29995,0.97058,1.58935,0.0009704,0.0009704,0.0009704
54,1480,0.8853,0.75535,1.19452,1,0.99247,0.995,0.58921,1.36756,0.99872,1.69412,0.0009506,0.0009506,0.0009506
55,1508.25,0.77682,0.64905,1.08355,1,0.99282,0.995,0.55579,1.5181,1.01194,1.80576,0.0009308,0.0009308,0.0009308
56,1536.68,0.78004,0.72303,1.15013,0.99852,1,0.995,0.60256,1.36834,0.97629,1.66273,0.000911,0.000911,0.000911
57,1562.7,0.80922,0.70313,1.15391,0.99014,1,0.995,0.62779,1.31996,0.94234,1.59095,0.0008912,0.0008912,0.0008912
58,1588.15,0.79803,0.69617,1.15533,0.99154,1,0.995,0.62666,1.31018,0.99047,1.59909,0.0008714,0.0008714,0.0008714
59,1614.4,0.82484,0.74961,1.14385,0.99132,1,0.995,0.63553,1.32504,0.99388,1.66279,0.0008516,0.0008516,0.0008516
60,1640.59,0.84715,0.74216,1.14782,0.98802,1,0.995,0.61749,1.29693,0.98597,1.6701,0.0008318,0.0008318,0.0008318
61,1845.74,0.79669,0.68185,1.15256,0.97935,1,0.995,0.64711,1.25467,0.95851,1.59092,0.000812,0.000812,0.000812
62,1871.51,0.77285,0.66576,1.11552,0.98191,1,0.995,0.621,1.31316,0.90228,1.62985,0.0007922,0.0007922,0.0007922
63,1895.93,0.80342,0.73224,1.21801,0.99207,1,0.995,0.60038,1.39578,0.83526,1.72668,0.0007724,0.0007724,0.0007724
64,1922.17,0.79781,0.67711,1.10867,0.9935,1,0.995,0.59714,1.46496,0.84102,1.77562,0.0007526,0.0007526,0.0007526
65,1946.89,0.68675,0.63839,1.08538,0.99525,1,0.995,0.5819,1.41664,0.90515,1.71275,0.0007328,0.0007328,0.0007328
66,1971.18,0.77519,0.6199,1.16163,0.99461,1,0.995,0.6016,1.32144,0.97153,1.6505,0.000713,0.000713,0.000713
67,1995.54,0.77675,0.63312,1.08977,0.99315,1,0.995,0.64188,1.32202,0.93085,1.63439,0.0006932,0.0006932,0.0006932
68,2019.42,0.78325,0.66981,1.13774,0.99065,1,0.995,0.6501,1.30115,0.8631,1.65261,0.0006734,0.0006734,0.0006734
69,2043.23,0.70537,0.63424,1.07034,0.99574,1,0.995,0.6658,1.29802,0.78849,1.65274,0.0006536,0.0006536,0.0006536
70,2067.11,0.73078,0.57665,1.0878,0.99543,1,0.995,0.68272,1.26779,0.80608,1.58773,0.0006338,0.0006338,0.0006338
71,2091.22,0.76063,0.61325,1.1116,0.99572,1,0.995,0.70745,1.23693,0.82721,1.51553,0.000614,0.000614,0.000614
72,2116.64,0.66752,0.59145,1.07038,0.99606,1,0.995,0.69876,1.23614,0.81179,1.51088,0.0005942,0.0005942,0.0005942
73,2140.89,0.69273,0.63735,1.08885,0.9961,1,0.995,0.67905,1.31079,0.77985,1.57043,0.0005744,0.0005744,0.0005744
74,2164.9,0.76591,0.63443,1.10728,0.99593,1,0.995,0.65233,1.33507,0.77296,1.58258,0.0005546,0.0005546,0.0005546
75,2188.83,0.73246,0.59579,1.06627,0.99581,1,0.995,0.67591,1.29748,0.77025,1.54702,0.0005348,0.0005348,0.0005348
76,2212.96,0.62166,0.52033,1.02692,0.99324,1,0.995,0.66672,1.30648,0.7683,1.55812,0.000515,0.000515,0.000515
77,2236.97,0.625,0.53104,1.0462,0.98752,1,0.995,0.64158,1.34897,0.76328,1.58074,0.0004952,0.0004952,0.0004952
78,2260.8,0.76122,0.61567,1.09306,0.98848,1,0.995,0.66643,1.32481,0.78605,1.5824,0.0004754,0.0004754,0.0004754
79,2284.64,0.71457,0.55743,1.08354,0.9957,1,0.995,0.65641,1.36238,0.81908,1.66244,0.0004556,0.0004556,0.0004556
80,2308.55,0.63896,0.54485,1.04444,0.99539,1,0.995,0.60095,1.41863,0.84509,1.76551,0.0004358,0.0004358,0.0004358
81,2332.58,0.73222,0.59994,1.06658,0.99537,1,0.995,0.59125,1.46494,0.88484,1.83667,0.000416,0.000416,0.000416
82,2356.57,0.68475,0.54158,1.06239,0.99508,1,0.995,0.61862,1.43824,0.8986,1.84189,0.0003962,0.0003962,0.0003962
83,2380.45,0.71776,0.6073,1.11051,0.99461,1,0.995,0.64432,1.40415,0.8619,1.8348,0.0003764,0.0003764,0.0003764
84,2404.39,0.6706,0.63203,1.11915,0.98233,0.92857,0.98265,0.66107,1.40834,0.8281,1.82857,0.0003566,0.0003566,0.0003566
85,2428.26,0.61311,0.53794,1.0382,0.98593,0.92857,0.98625,0.64305,1.41611,0.8165,1.79235,0.0003368,0.0003368,0.0003368
86,2454.03,0.67099,0.53244,1.03091,0.997,1,0.995,0.64292,1.40173,0.79256,1.75081,0.000317,0.000317,0.000317
87,2478.79,0.6242,0.52594,1.05226,0.99606,1,0.995,0.62767,1.38288,0.78768,1.72265,0.0002972,0.0002972,0.0002972
88,2503.35,0.61622,0.54158,1.03063,0.99518,1,0.995,0.62601,1.37655,0.77145,1.7017,0.0002774,0.0002774,0.0002774
89,2527.99,0.6351,0.57752,1.04663,1,0.91832,0.97658,0.63933,1.36764,0.79066,1.67652,0.0002576,0.0002576,0.0002576
90,2552.28,0.61067,0.52262,1.03011,1,0.92055,0.98625,0.62624,1.34512,0.78294,1.64353,0.0002378,0.0002378,0.0002378
91,2577.05,0.51514,0.61201,0.99628,1,0.91958,0.98625,0.62602,1.33986,0.78267,1.64315,0.000218,0.000218,0.000218
92,2601.08,0.52394,0.57759,0.99737,1,0.91866,0.97944,0.61273,1.36316,0.8026,1.67387,0.0001982,0.0001982,0.0001982
93,2624.74,0.48551,0.58096,0.95506,0.92373,0.92857,0.98125,0.60532,1.38429,0.80797,1.72388,0.0001784,0.0001784,0.0001784
94,2648.32,0.49134,0.5478,0.97243,0.92394,0.92857,0.98125,0.60558,1.38749,0.81682,1.7361,0.0001586,0.0001586,0.0001586
95,2671.84,0.49886,0.5522,0.98486,0.92414,0.92857,0.98125,0.621,1.37333,0.82008,1.71727,0.0001388,0.0001388,0.0001388
96,2695.59,0.4619,0.51896,0.95786,0.93299,0.99492,0.98567,0.63338,1.36038,0.82381,1.68911,0.000119,0.000119,0.000119
97,2719.32,0.49186,0.53996,0.98674,0.99564,1,0.995,0.64493,1.33476,0.82309,1.65035,9.92e-05,9.92e-05,9.92e-05
98,2743.06,0.47679,0.5418,0.98701,0.99579,1,0.995,0.63811,1.3178,0.80614,1.62,7.94e-05,7.94e-05,7.94e-05
99,2766.99,0.45405,0.52047,0.9634,0.99594,1,0.995,0.65667,1.29662,0.81552,1.59634,5.96e-05,5.96e-05,5.96e-05
100,2790.95,0.43876,0.51018,0.96474,0.99599,1,0.995,0.65456,1.28885,0.81416,1.58608,3.98e-05,3.98e-05,3.98e-05
